leftElbow,rightElbow,leftShould,rightShould,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,leftWrist,rightWrist,Xangle,time,nansec,diftime
41,116,79,48,24,34,6,24,8,20,26,47,5.888817519652474,1709574166.9284809,1709574166928480700,13005727700
39,118,80,48,25,34,9,26,7,20,28,48,5.722180185372633,1709574167.089052,1709574167089051800,13166298800
37,120,81,48,27,36,12,27,7,20,29,41,5.242716383554027,1709574167.2625892,1709574167262589300,13339836300
38,117,82,47,29,38,14,30,7,21,26,38,4.840014348706598,1709574167.4551082,1709574167455108000,13532355000
34,82,78,52,34,38,14,27,6,19,29,48,4.40663813101253,1709574167.626158,1709574167626158200,13703405200
34,79,77,55,34,38,16,30,6,19,31,52,5.088414961291841,1709574167.8076758,1709574167807676000,13884923000
35,88,77,55,33,41,19,32,7,20,24,40,2.909131938857772,1709574167.975225,1709574167975225200,14052472200
38,94,79,51,32,40,24,39,8,20,26,60,3.035981852888682,1709574168.1467662,1709574168146766200,14224013200
39,106,79,48,33,39,26,38,10,20,27,37,3.286784133402918,1709574168.3946137,1709574168394613700,14471860700
40,109,79,48,28,37,15,32,8,20,27,36,3.4004345516654393,1709574168.5611675,1709574168561167400,14638414400
42,122,78,44,30,35,13,28,8,20,27,37,4.244432198276,1709574168.7267241,1709574168726724200,14803971200
38,144,79,41,30,35,11,26,8,19,29,36,4.542696250680728,1709574168.8988104,1709574168898810400,14976057400
30,141,80,41,29,33,7,22,8,19,32,39,4.962441621877744,1709574169.0588899,1709574169058889900,15136136900
28,138,82,40,26,35,5,23,10,20,26,39,4.242759505146266,1709574169.2270296,1709574169227029600,15304276600
34,133,80,40,25,34,4,22,8,19,33,39,4.129107853601509,1709574169.4085588,1709574169408558800,15485805800
42,116,80,45,26,35,4,23,7,20,28,36,3.3628303752825444,1709574170.0079563,1709574170007956100,16085203100
44,132,81,42,26,35,6,24,7,19,30,32,3.6955596037450484,1709574170.2054305,1709574170205430600,16282677600
45,134,80,42,26,35,4,21,7,19,31,32,3.6665778695135502,1709574170.4228504,1709574170422850300,16500097300
47,138,80,42,29,35,7,24,6,20,37,33,4.685674941780808,1709574170.5963862,1709574170596386300,16673633300
48,148,79,44,33,35,9,25,6,19,36,30,5.054715809896959,1709574170.7769003,1709574170776900300,16854147300
48,121,78,45,36,36,12,28,7,18,35,35,5.197708934864118,1709574170.947459,1709574170947459000,17024706000
43,115,83,50,42,40,21,33,6,19,27,40,4.98487242957158,1709574171.1289747,1709574171128974600,17206221600
